Timestamp,Type,Amount,Phone,Reference,Message
2025-06-10T20:28:27.367Z,agent_withdrawal,197036,+250786353960,MTN19732,"Cash withdrawal of RWF RF 197,036 from agent +250786353960. Fee: RWF 3940. Reference: MTN19732"
2025-06-10T12:14:59.492Z,third_party_transaction,432981,+250784776769,MTN69817,"Third party transaction of RWF RF 432,981. Service: Tigo. Reference: MTN69817"
2025-06-08T11:24:24.401Z,third_party_transaction,77439,+250781891761,MTN56492,"Third party transaction of RWF RF 77,439. Service: Tigo. Reference: MTN56492"
2025-06-07T05:23:15.315Z,third_party_transaction,473973,+250784690534,MTN36472,"Third party transaction of RWF RF 473,973. Service: Tigo. Reference: MTN36472"
2025-06-06T20:31:30.996Z,airtime_payment,220797,+250787568085,MTN80835,"Airtime purchase successful. Amount: RWF RF 220,797. Phone: +250787568085. Reference: MTN80835"
2025-06-05T05:41:18.882Z,bank_transfer,460125,+250782771293,MTN12802,"Bank transfer of RWF RF 460,125 to account ****8950. Reference: MTN12802"
2025-06-04T15:47:04.812Z,third_party_transaction,316474,+250788060803,MTN90222,"Third party transaction of RWF RF 316,474. Service: Airtel. Reference: MTN90222"
2025-06-04T07:16:18.426Z,bank_transfer,89788,+250782428750,MTN69205,"Bank transfer of RWF RF 89,788 to account ****9078. Reference: MTN69205"
2025-06-01T19:19:18.243Z,airtime_payment,271504,+250789224530,MTN10736,"Airtime purchase successful. Amount: RWF RF 271,504. Phone: +250789224530. Reference: MTN10736"
2025-06-01T16:04:01.786Z,payment_to_code,396632,+250786723388,MTN10796,"You have paid RWF RF 396,632 to merchant code. Transaction ID: MTN10796. Your new balance is RWF 544116."
2025-05-30T22:23:11.559Z,agent_withdrawal,424017,+250782652897,MTN11684,"Cash withdrawal of RWF RF 424,017 from agent +250782652897. Fee: RWF 8480. Reference: MTN11684"
2025-05-30T22:21:15.778Z,incoming_money,463328,+250782561018,MTN71820,"You have received RWF RF 463,328 from +250782561018. Your new balance is RWF 93369. Reference: MTN71820"
2025-05-30T03:28:05.118Z,third_party_transaction,206660,+250789986488,MTN61922,"Third party transaction of RWF RF 206,660. Service: Tigo. Reference: MTN61922"
2025-05-29T09:51:07.401Z,airtime_payment,331292,+250780301005,MTN44268,"Airtime purchase successful. Amount: RWF RF 331,292. Phone: +250780301005. Reference: MTN44268"
2025-05-28T14:02:42.175Z,incoming_money,59394,+250789094076,MTN20359,"You have received RWF RF 59,394 from +250789094076. Your new balance is RWF 14720. Reference: MTN20359"
2025-05-28T04:00:37.379Z,cashpower_payment,429388,+250784796762,MTN25897,"CashPower payment of RWF RF 429,388 successful. Meter: 89182. Reference: MTN25897"
2025-05-28T01:54:33.227Z,bank_deposit,468725,+250780283065,MTN14298,"Bank deposit of RWF RF 468,725 successful. Bank: BK. Reference: MTN14298"
2025-05-27T09:12:37.735Z,bank_transfer,416172,+250782653848,MTN64016,"Bank transfer of RWF RF 416,172 to account ****4124. Reference: MTN64016"
2025-05-26T21:11:03.860Z,airtime_payment,442122,+250783830466,MTN23754,"Airtime purchase successful. Amount: RWF RF 442,122. Phone: +250783830466. Reference: MTN23754"
2025-05-24T21:09:33.815Z,bundle_purchase,305738,+250781261345,MTN65170,"Internet bundle purchase. Amount: RWF RF 305,738. Data: 3057MB. Reference: MTN65170"
2025-05-24T12:24:12.646Z,agent_withdrawal,479578,+250785067693,MTN26499,"Cash withdrawal of RWF RF 479,578 from agent +250785067693. Fee: RWF 9591. Reference: MTN26499"
2025-05-22T18:25:42.689Z,third_party_transaction,130255,+250789855414,MTN81782,"Third party transaction of RWF RF 130,255. Service: Airtel. Reference: MTN81782"
2025-05-22T10:08:31.043Z,bank_transfer,279350,+250784461182,MTN45375,"Bank transfer of RWF RF 279,350 to account ****3604. Reference: MTN45375"
2025-05-22T01:26:02.867Z,bundle_purchase,457433,+250785892978,MTN55980,"Internet bundle purchase. Amount: RWF RF 457,433. Data: 4574MB. Reference: MTN55980"
2025-05-21T06:23:02.838Z,airtime_payment,406142,+250782918885,MTN18719,"Airtime purchase successful. Amount: RWF RF 406,142. Phone: +250782918885. Reference: MTN18719"
2025-05-20T11:04:13.035Z,bundle_purchase,339422,+250786720837,MTN71027,"Internet bundle purchase. Amount: RWF RF 339,422. Data: 3394MB. Reference: MTN71027"
2025-05-20T05:06:15.865Z,airtime_payment,416615,+250787229945,MTN42476,"Airtime purchase successful. Amount: RWF RF 416,615. Phone: +250787229945. Reference: MTN42476"
2025-05-16T20:49:12.364Z,transfer_mobile,9128,+250786839878,MTN95015,"You have transferred RWF RF 9,128 to +250786839878. Fee: RWF 91. Reference: MTN95015"
2025-05-16T17:15:11.161Z,airtime_payment,277185,+250786513324,MTN39081,"Airtime purchase successful. Amount: RWF RF 277,185. Phone: +250786513324. Reference: MTN39081"
2025-05-16T02:46:28.334Z,bank_transfer,205952,+250783042708,MTN06508,"Bank transfer of RWF RF 205,952 to account ****2897. Reference: MTN06508"
2025-05-15T10:41:14.762Z,airtime_payment,271438,+250781884923,MTN61524,"Airtime purchase successful. Amount: RWF RF 271,438. Phone: +250781884923. Reference: MTN61524"
2025-05-14T14:32:30.020Z,bank_transfer,490693,+250787209516,MTN16639,"Bank transfer of RWF RF 490,693 to account ****3173. Reference: MTN16639"
2025-05-14T12:59:24.940Z,agent_withdrawal,402562,+250780776386,MTN49430,"Cash withdrawal of RWF RF 402,562 from agent +250780776386. Fee: RWF 8051. Reference: MTN49430"
2025-05-13T09:50:44.678Z,transfer_mobile,479096,+250788665990,MTN26966,"You have transferred RWF RF 479,096 to +250788665990. Fee: RWF 4790. Reference: MTN26966"
